PubChem CID,IC50 (nM),pIC50,Ligand SMILES
155532132,3,8.5229,Cc1ccc(cc1NC(=O)C1(CC1)c1ncnc2[nH]cnc12)C(=O)Nc1ccc(Cl)c(c1)C(F)(F)F
155514157,4,8.3979,Cc1ccc(cc1NCc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F
145925694,4.7,8.3279,Cn1ccc(n1)-c1cncc(CNc2cc(ccc2F)C(=O)Nc2cccc(OC(F)(F)F)c2)c1
155532620,5.9,8.2291,COc1cncc(CNc2cc(ccc2C)C(=O)Nc2cccc(c2)C(F)(F)F)c1
155552522,8.5,8.0706,Cc1ccc(cc1NCc1cncc(c1)-c1ccn(C)n1)C(=O)Nc1cccc(c1)C(F)(F)F
71625036,9.7,8.0132,CN(C)c1cccc(NC(=O)c2ccc(C)c(c2)C#Cc2cnc3ccnn3c2)c1
126961599,11.7,7.9318,Cc1nc(NC2CCN(C2)S(C)(=O)=O)cc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)n1
145713146,13.8,7.8601,O=C(N1CCC2(CC1)N(CN(Cc1nc(no1)C1CC1)C2=O)c1ccccc1)c1ccc2[nH]ncc2c1
126961602,17.9,7.7471,CCC(=O)N1CCC(C1)Nc1cc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)nc(C)n1
130364447,19.4,7.7122,CC1CN(Cc2cc(ccc12)C(=O)Nc1cc(cc(c1)C(F)(F)F)-n1cnc(C)c1)c1cncnc1
130364480,20.6,7.6861,CC1CN(Cc2cc(ccc12)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C1CCCC1)c1cncnc1
126961586,22.6,7.6459,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CC1)C(=O)OCc1ccccc1
124185798,23.1,7.6364,O=C(CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)C1=O)Nc1ccccc1CN1CCOCC1
124185556,27.9,7.5544,FC(F)(F)[C@@H]1CN(CCO1)C(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3n2)C1=O
137521853,28.2,7.5498,FC(F)(F)[C@@H]1CCCN1C(=O)CN1C(=O)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)c2c1cccc2Br
145713198,29.5,7.5302,CN1CCN(C[C@H]1C(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
130301939,29.5,7.5302,Fc1ccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c2c1Cl
124185532,29.6,7.5287,CN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)C1=O
130301863,30.3,7.5186,Cc1cccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c12
155295597,30.5,7.5157,Brc1cccc2N(CC(=O)N3CCn4cccc4C3)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c12
130364476,31.4,7.5031,CC1CN(Cc2cc(ccc12)C(=O)Nc1cc(CN(C)CCN(C)C)cc(c1)C(F)(F)F)c1cncnc1
130323725,31.8,7.4976,CC1CN(CCS1)C(=O)CN1C(=O)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)c2c1cccc2Br
130301898,32.2,7.4921,FC(F)(F)CNC(=O)CN1C(=O)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)c2c1ccc(Cl)c2Cl
130302008,32.6,7.4868,CC1(C)CCCN1C(=O)CN1C(=O)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3n2)c2c1ccc(F)c2Cl
130323599,34.5,7.4622,FC(F)(F)CNC(=O)CN1C(=O)C2(CN(C2)C(=O)c2ccc3[nH]ncc3n2)c2c1cccc2Br
137321158,35,7.4559,CCn1cc(-c2ccc3N(CCc3c2)C(=O)Cc2cccc(OC(F)(F)F)c2)c2c(N)ncnc12
145969155,35,7.4559,CNc1ncc2c(nn(CC3CCCC3)c2n1)-c1ccc(cc1)N1CCN(C)CC1
71625035,35,7.4559,CC(C)Oc1cccc(NC(=O)c2ccc(C)c(c2)C#Cc2cnc3ccnn3c2)c1
