PubChem CID,IC50 (nM),pIC50,Ligand SMILES
51049987,0.00125,11.9031,COCCOC1CCCN(C1)S(=O)(=O)C[C@H]1CC[C@@H](CC1)N(C)c1ncnc2[nH]ccc12
51354535,0.00133,11.8761,CC(C)COC1CCCN(C1)S(=O)(=O)C[C@H]1CC[C@@H](CC1)N(C)c1ncnc2[nH]ccc12
51355094,0.00199,11.7011,C[C@H]1CN(C[C@@H]1CO)S(=O)(=O)C[C@H]1CC[C@@H](CC1)N(C)c1ncnc2[nH]ccc12
68315469,0.00508,11.2941,C[C@@H]1C[C@@H](CS(=O)(=O)N2CC[C@H](CO)C2)CC[C@@H]1N(C)c1ncnc2[nH]ccc12
51355095,0.00777,11.1096,CN([C@H]1CC[C@H](CS(=O)(=O)N2CCC(C)(O)C2)CC1)c1ncnc2[nH]ccc12
58293213,0.0227,10.644,CN([C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@H](C2)OC(=O)C(C)(C)C)CC1)c1ncnc2[nH]ccc12
51354534,0.0235,10.6289,CCOP(=O)(OCC)O[C@@H]1CCCN(C1)S(=O)(=O)C[C@H]1CC[C@@H](CC1)N(C)c1ncnc2[nH]ccc12
58293104,0.0245,10.6108,CN([C@H]1CC[C@H](CS(=O)(=O)N2CCN(C)CC2)CC1)c1ncnc2[nH]ccc12
58293212,0.0263,10.58,CN([C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@H](C2)OP(O)(O)=O)CC1)c1ncnc2[nH]ccc12
89470787,0.04,10.3979,C[C@@](O)(c1ccc(Nc2nn(cc2C(N)=O)[C@H]2CC[C@H](C[C@@H]2C#N)N2CCC2)cc1)C(F)(F)F
89473684,0.05,10.301,CC(C)(C)OC(=O)N1CC[C@@](CC#N)([C@H](F)C1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1
89471495,0.06,10.2218,CC1(C)CN(C1)[C@@H]1CC[C@@H]([C@H](C1)C#N)n1cc(C(N)=O)c(Nc2ccc(cc2)[C@H](O)C(F)(F)F)n1
89473696,0.07,10.1549,NC(=O)c1cn(nc1Nc1ccnc(F)c1)C1(CC#N)CCC(CC1)Nc1cccc(Cl)c1
90367243,0.08,10.0969,CNC1CCC([C@H](C1)C#N)n1cc(C(N)=O)c(Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)n1
90331807,0.09,10.0458,CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1cc(C(N)=O)c(Nc2ccc(cc2)S(=O)(=O)C(F)F)n1
90367194,0.1,10,CC(C)([C@@H](O)C(F)(F)F)c1ccc(Nc2nn(cc2C(N)=O)[C@@H]2CCCC[C@H]2C#N)cc1
71258473,0.11,9.9586,N#CC[C@H]1CC[C@@H](CC1)c1nnn2cnc3[nH]ccc3c12
146012101,0.12,9.9208,CC(C)(C)OC(=O)[C@@H]1CC[C@](CC#N)(CO1)n1nc(Nc2ccnc(F)c2)c2c1cc[nH]c2=O
90367309,0.13,9.8861,NC(=O)c1cn(nc1Nc1ccc(cc1)S(=O)(=O)C(F)(F)F)[C@H]1CC[C@@H](C[C@@H]1C#N)N1CC(O)C1
146011764,0.14,9.8539,CC(C)(C)OC(=O)[C@@H]1CC[C@](CC#N)(CO1)n1nc(Nc2ccc3c(CN(CC(F)(F)F)S3(=O)=O)c2)c2c1cc[nH]c2=O
90367322,0.15,9.8239,NC(=O)c1cn(nc1Nc1ccc(cc1)S(=O)(=O)C(F)(F)F)[C@H]1CC[C@@H](C[C@@H]1C#N)N1CCC1
117882481,0.16,9.7959,CS(=O)(=O)NC[C@H]1CC[C@@H](CC1)c1nnn2cnc3[nH]ccc3c12
90367192,0.17,9.7696,NC(=O)c1cn(nc1Nc1ccc2C(=O)N(CC(F)(F)F)Cc2c1)[C@H]1CCCC[C@@H]1C#N
146011771,0.18,9.7447,CC(C)(C)OC(=O)[C@@H]1CC[C@](CC#N)(CO1)n1nc(Nc2ccc(cc2)[C@@H](N)C(F)(F)F)c2c1cc[nH]c2=O
