PubChem CID,IC50 (nM),pIC50,Ligand SMILES
122452491,17,7.7696,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(-c4ccn[nH]4)c3)C(F)(F)F)c12
122452419,19.4,7.7122,CCC(C)COC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452377,20.1,7.6968,CC(=O)N1CCC(COC(=O)c2c(C)[nH]c3c(=O)n(C)cc(C#CC(C)(C)O)c23)CC1
122452214,21.5,7.6676,Cc1ccccc1COC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452494,21.5,7.6676,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(-c4cn[nH]c4)c3)C(F)(F)F)c12
122452273,21.7,7.6635,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)(C)CCN
122452401,21.9,7.6596,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCCC3)c12
122452241,22.6,7.6459,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ccccc3)c12
122452381,22.6,7.6459,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC1CCCCC1
122452418,23.7,7.6253,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC1CCCC1
122452331,24,7.6198,COc1ccccc1COC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452333,26.7,7.5735,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccc1F
122452365,26.8,7.5719,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OC(C)(C)CC#N
122452380,27.3,7.5638,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)(C)CC#N
122452199,27.3,7.5638,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(-c4cccnc4)c3)C(F)(F)F)c12
122452328,27.7,7.5575,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccc1C(F)(F)F
137078889,29.2,7.5346,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1-c1nnc(CC(C)C)o1
122452322,29.4,7.5317,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccc1C#N
137078884,29.4,7.5317,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1-c1nnc(C(C)C)o1
122452219,29.9,7.5243,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC(C)C
122452398,30.3,7.5186,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cccc(C#N)c3)c12
122452411,30.4,7.5171,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC(C)(C)C
122452222,31.1,7.5072,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)(C)C
122452386,32.4,7.4895,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ccccc3)c2c1C(=O)OCC(C)C
122452326,34.1,7.4672,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccn1
122452276,34.1,7.4672,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(C(N)=O)c3)C(F)(F)F)c12
122442934,34.5,7.4622,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccc1
122452194,34.6,7.4609,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OCc1cccc2cccnc12
122452425,35.1,7.4547,CCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452487,35.5,7.4498,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(CO)c3)C(F)(F)F)c12
137078898,36.4,7.4389,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1-c1nnc(C(C)C)o1
122452370,36.5,7.4377,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1C(=O)OC(C)(C)CC#N
122452387,36.9,7.433,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC1CCCCC1
122452209,37.2,7.4295,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OCc1cccc(CO)c1
122452374,37.5,7.426,CC(=O)NCCCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c12
122452323,37.9,7.4214,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccccc1CO
122452316,38.1,7.4191,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3cccc(N)c3)c12
